ticker,close,date,high,low,month,open,volume
ICICIBANK,940.85,05-10-2023 05:30,943.95,934.55,2023-10,935.2,10478856
ADANIENT,2466.35,05-10-2023 05:30,2486.5,2446.4,2023-10,2477.95,1132455
ADANIPORTS,825.2,05-10-2023 05:30,832,820.25,2023-10,830.85,2083505
BEL,138.95,05-10-2023 05:30,141.35,138.1,2023-10,139.5,15996620
BAJAJFINSV,1542.55,05-10-2023 05:30,1556,1532.3,2023-10,1540,1153064
EICHERMOT,3443.6,05-10-2023 05:30,3453.9,3387.05,2023-10,3405.5,394665
COALINDIA,289.35,05-10-2023 05:30,290.55,283.9,2023-10,288.8,8687014
MARUTI,10210.2,05-10-2023 05:30,10271,10109,2023-10,10182,377196
INDUSINDBK,1401.85,05-10-2023 05:30,1415.4,1394.3,2023-10,1408.7,1647175
ASIANPAINT,3206.25,05-10-2023 05:30,3232.1,3174.3,2023-10,3210,1002610
TATASTEEL,125.25,05-10-2023 05:30,126.15,124.55,2023-10,125.9,27063441
HDFCLIFE,624.35,05-10-2023 05:30,627.75,619.9,2023-10,626,4050085
DRREDDY,1081.45,05-10-2023 05:30,1095,1080,2023-10,1092,2058530
SUNPHARMA,1119.1,05-10-2023 05:30,1128.65,1111.8,2023-10,1124.65,2348562
KOTAKBANK,1734.25,05-10-2023 05:30,1747,1721.15,2023-10,1730,2966801
SHRIRAMFIN,1837.5,05-10-2023 05:30,1872.95,1823,2023-10,1852,1479477
NESTLEIND,2291.87,05-10-2023 05:30,2310.72,2277.5,2023-10,2300.5,680000
ONGC,182.2,05-10-2023 05:30,184,181,2023-10,181.25,11128340
CIPLA,1161.1,05-10-2023 05:30,1172.95,1155.25,2023-10,1170.1,1446743
BPCL,172.23,05-10-2023 05:30,173.88,171.4,2023-10,172.75,7115506
BRITANNIA,4533.9,05-10-2023 05:30,4548.2,4500,2023-10,4540.25,302015
SBILIFE,1274.45,05-10-2023 05:30,1282.1,1264.95,2023-10,1271,979561
HINDALCO,470.55,05-10-2023 05:30,482.4,468.35,2023-10,473.4,4801287
HEROMOTOCO,3016.65,05-10-2023 05:30,3048.85,2993.4,2023-10,3020,537209
AXISBANK,1003.25,05-10-2023 05:30,1009.2,988.9,2023-10,1000,7950412
HDFCBANK,1535.75,05-10-2023 05:30,1551.55,1532.6,2023-10,1535.05,24256337
BAJAJ-AUTO,5011.05,05-10-2023 05:30,5039.3,4925.1,2023-10,4935,657876
SBIN,594.25,06-10-2023 05:30,598.95,592.2,2023-10,593.4,8216780
BAJFINANCE,8168.55,06-10-2023 05:30,8192,7845,2023-10,7850,2145034
TITAN,3309.75,06-10-2023 05:30,3319.8,3221.1,2023-10,3230,1102120
ITC,442.15,06-10-2023 05:30,443.6,436.65,2023-10,437.85,8418580
TCS,3621.4,06-10-2023 05:30,3634.95,3575.05,2023-10,3591,2075691
LT,3093.7,06-10-2023 05:30,3114.95,3073.15,2023-10,3114.95,1898118
TATACONSUM,864.01,06-10-2023 05:30,866.73,850.43,2023-10,850.43,948330
RELIANCE,1159,06-10-2023 05:30,1162.4,1156.03,2023-10,1158.53,5431026
HCLTECH,1237.7,06-10-2023 05:30,1256,1230.1,2023-10,1252,2497711
JSWSTEEL,765.2,06-10-2023 05:30,771.15,758.65,2023-10,760.35,2026927
ULTRACEMCO,8195.45,06-10-2023 05:30,8239.65,8151.25,2023-10,8198,158491
POWERGRID,197.05,06-10-2023 05:30,197.45,194.85,2023-10,197,12857229
INFY,1478.7,06-10-2023 05:30,1484.5,1463.3,2023-10,1469.5,3598672
TRENT,2072.1,06-10-2023 05:30,2091.9,2050.1,2023-10,2055.85,444220
AIRTEL,926.05,06-10-2023 05:30,929.2,924.3,2023-10,929.2,2420855
TATAMOTORS,622.45,06-10-2023 05:30,627.35,620,2023-10,627,7922379
WIPRO,407.85,06-10-2023 05:30,409.8,406.95,2023-10,408,3182502
TECHM,1216.9,06-10-2023 05:30,1223,1205,2023-10,1207,1446719
NTPC,235.55,06-10-2023 05:30,237.5,233.65,2023-10,234.25,8825123
HINDUNILVR,2499.4,06-10-2023 05:30,2520,2494,2023-10,2519.95,1083342
APOLLOHOSP,5060.25,06-10-2023 05:30,5084,5028.8,2023-10,5050,407753
M&M,1548.85,06-10-2023 05:30,1554,1540.35,2023-10,1545,1743027
GRASIM,1895.76,06-10-2023 05:30,1898.35,1882.52,2023-10,1882.62,399766
ICICIBANK,945.2,06-10-2023 05:30,946.55,938,2023-10,946,6355755
ADANIENT,2478.1,06-10-2023 05:30,2514.95,2466.05,2023-10,2466.35,1510035
ADANIPORTS,830.75,06-10-2023 05:30,836.5,826.4,2023-10,830,1877058
BEL,139,06-10-2023 05:30,140.5,138.65,2023-10,139,4987359
BAJAJFINSV,1634.65,06-10-2023 05:30,1640.7,1551.05,2023-10,1559.35,7384628
EICHERMOT,3450.4,06-10-2023 05:30,3464.45,3438.35,2023-10,3443.6,249258
COALINDIA,287.8,06-10-2023 05:30,291,287,2023-10,290.95,3741467
MARUTI,10302,06-10-2023 05:30,10333,10260,2023-10,10283,335700
INDUSINDBK,1434.8,06-10-2023 05:30,1438,1401.1,2023-10,1404.95,2167139
ASIANPAINT,3195.75,06-10-2023 05:30,3217,3190,2023-10,3214.75,814257
TATASTEEL,125.9,06-10-2023 05:30,127,125.1,2023-10,126.5,21928671
HDFCLIFE,630.9,06-10-2023 05:30,636.2,622.75,2023-10,624.55,3713370
DRREDDY,1084.98,06-10-2023 05:30,1097.44,1081.84,2023-10,1087,1572990
SUNPHARMA,1127.3,06-10-2023 05:30,1132.15,1123.1,2023-10,1128,1056281
KOTAKBANK,1743.9,06-10-2023 05:30,1747,1730.2,2023-10,1735.3,1992323
SHRIRAMFIN,1848.85,06-10-2023 05:30,1863,1835,2023-10,1850.95,1262390
NESTLEIND,2291.23,06-10-2023 05:30,2306.76,2281.49,2023-10,2298.99,388120
